Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00    37347     0.00     0.00  std::vector<Link*, std::allocator<Link*> >::size() const
  0.00      0.07     0.00    37193     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.07     0.00    36940     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.07     0.00    36940     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.07     0.00    36940     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.07     0.00    36870     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int, std::move_iterator<int*> >(int*)
  0.00      0.07     0.00    36839     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.07     0.00    36358     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Identity, true> const&)
  0.00      0.07     0.00    35983     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.07     0.00    35983     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.07     0.00    34082     0.00     0.00  std::_Hashtable<std::array<int, 4ul>, std::array<int, 4ul>, std::allocator<std::array<int, 4ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::find(std::array<int, 4ul> const&)
  0.00      0.07     0.00    34082     0.00     0.00  std::unordered_set<std::array<int, 4ul>, boost::hash<std::array<int, 4ul> >, std::equal_to<std::array<int, 4ul> >, std::allocator<std::array<int, 4ul> > >::find(std::array<int, 4ul> const&)
  0.00      0.07     0.00    34082     0.00     0.00  std::__detail::_Node_const_iterator<std::array<int, 4ul>, true, true>::_Node_const_iterator(std::__detail::_Node_iterator<std::array<int, 4ul>, true, true> const&)
  0.00      0.07     0.00    31038     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.00      0.07     0.00    30908     0.00     0.00  void __gnu_cxx::new_allocator<std::array<int, 2ul> >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::array<int, 2ul>*, std::array<int, 2ul>&&)
  0.00      0.07     0.00    30908     0.00     0.00  void std::allocator_traits<std::allocator<std::array<int, 2ul> > >::construct<std::array<int, 2ul>, std::array<int, 2ul> >(std::allocator<std::array<int, 2ul> >&, std::array<int, 2ul>*, std::array<int, 2ul>&&)
  0.00      0.07     0.00    30908     0.00     0.00  void std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::emplace_back<std::array<int, 2ul> >(std::array<int, 2ul>&&)
  0.00      0.07     0.00    30908     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::push_back(std::array<int, 2ul>&&)
  0.00      0.07     0.00    30908     0.00     0.00  std::remove_reference<std::array<int, 2ul>&>::type&& std::move<std::array<int, 2ul>&>(std::array<int, 2ul>&)
