Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00    12126     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 2ul>, std::array<int, 2ul>, std::__detail::_Identity, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h1() const
  0.00      0.07     0.00    12126     0.00     0.00  std::_Hashtable<std::array<int, 2ul>, std::array<int, 2ul>, std::allocator<std::array<int, 2ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 2ul> >, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::end()
  0.00      0.07     0.00    12126     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, boost::hash<std::array<int, 2ul> >, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, boost::hash<std::array<int, 2ul> >, true> const&)
  0.00      0.07     0.00    12120     0.00     0.00  std::move_iterator<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >*>::base() const
  0.00      0.07     0.00    12120     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >* std::__addressof<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > > >(std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >&)
  0.00      0.07     0.00    11332     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.07     0.00    11332     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.07     0.00    11211     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.07     0.00    11182     0.00     0.00  std::_Vector_base<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::_M_deallocate(std::array<int, 2ul>*, unsigned long)
  0.00      0.07     0.00    11120     0.00     0.00  std::vector<motor*, std::allocator<motor*> >::operator[](unsigned long)
  0.00      0.07     0.00    11035     0.00     0.00  std::_Vector_base<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::_Vector_impl::~_Vector_impl()
  0.00      0.07     0.00    11035     0.00     0.00  std::_Vector_base<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::~_Vector_base()
  0.00      0.07     0.00    11035     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >::~vector()
  0.00      0.07     0.00    10908     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_M_swap_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      0.07     0.00    10605     0.00     0.00  std::remove_reference<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >&>::type&& std::move<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >&>(std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >&)
  0.00      0.07     0.00    10199     0.00     0.00  rng(double, double)
  0.00      0.07     0.00    10100     0.00     0.00  coord2quad_floor(double, int, double)
  0.00      0.07     0.00     9999     0.00     0.00  std::vector<std::array<double, 2ul>, std::allocator<std::array<double, 2ul> > >::operator[](unsigned long)
  0.00      0.07     0.00     9846     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.07     0.00     9742     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<double, std::array<int, 2ul> > >::_M_ptr() const
  0.00      0.07     0.00     9742     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<double, std::array<int, 2ul> > >::_M_addr() const
  0.00      0.07     0.00     9742     0.00     0.00  std::_Rb_tree_node<std::pair<double, std::array<int, 2ul> > >::_M_valptr() const
  0.00      0.07     0.00     9090     0.00     0.00  Link::get_stretching_energy()
  0.00      0.07     0.00     8847     0.00     0.00  std::array<int, 2ul>& std::forward<std::array<int, 2ul>&>(std::remove_reference<std::array<int, 2ul>&>::type&)
