{2.317535, -2.775706, 0.886479, 0.626421, 0}	{-2.795986, -2.149285, 0.871906, 0.583455, 0}	{-1.924080, -1.565831, 0.972125, 0.260023, 0}	{-0.951956, -1.305807, 0.838986, 0.371244, 0}	{0.961122, 2.917529, -0.487765, -0.941124, 1}	{0.473357, 1.976405, -0.142652, -0.892376, 1}	{0.330705, 1.084029, 0.225761, -0.994573, 1}	{0.556467, 0.089456, 0.432962, -0.871323, 1}	{-2.595177, 2.676344, 0.722034, 0.765224, 2}	{-1.873142, -2.558432, 0.773812, 0.640608, 2}	{-1.099330, -1.917824, 0.825068, 0.624643, 2}	{-0.274262, -1.293180, 0.750738, 0.425740, 2}
{-2.556437, 2.693898, 0.594427, 0.915085, 0}	{-1.962010, -2.391017, 0.671421, 0.604187, 0}	{-1.290589, -1.786830, 0.680038, 0.509518, 0}	{-0.610551, -1.277312, 0.894202, 0.467386, 0}	{1.973289, 2.196038, -0.920627, -0.344492, 1}	{1.052662, 1.851547, -0.904043, -0.696060, 1}	{0.148619, 1.155487, -0.863158, -0.672180, 1}	{-0.714539, 0.483307, -0.420525, -0.946840, 1}	{-2.247776, -2.935098, 0.983609, 0.406421, 2}	{-1.264166, -2.528677, 0.820583, 0.529909, 2}	{-0.443584, -1.998768, 0.673198, 0.793791, 2}	{0.229614, -1.204976, 0.655020, 0.714707, 2}
{-2.890518, 2.770593, 0.923250, 0.430389, 0}	{-1.967268, -2.799018, 0.853728, 0.559896, 0}	{-1.113541, -2.239122, 1.048130, 0.318720, 0}	{-0.065411, -1.920402, 0.870636, 0.224885, 0}	{1.997027, 2.196779, -0.786515, -0.607036, 1}	{1.210512, 1.589743, -0.664425, -0.759323, 1}	{0.546087, 0.830420, -0.318486, -0.860446, 1}	{0.227601, -0.030026, -0.282973, -0.950341, 1}	{-2.323484, -2.756166, 0.940735, 0.482169, 2}	{-1.382749, -2.273997, 0.995048, 0.234843, 2}	{-0.387701, -2.039154, 0.868595, 0.113815, 2}	{0.480893, -1.925339, 1.044959, 0.137355, 2}
{2.685433, 2.830848, 0.795239, 0.609888, 0}	{-2.519328, -2.559264, 0.944991, 0.612068, 0}	{-1.574337, -1.947196, 0.888181, 0.348395, 0}	{-0.686157, -1.598801, 0.947574, 0.152553, 0}	{1.698773, 2.194553, -0.834108, -0.536676, 1}	{0.864665, 1.657877, -0.507793, -0.743734, 1}	{0.356872, 0.914143, -0.549464, -0.828326, 1}	{-0.192592, 0.085816, -0.758745, -0.712993, 1}	{-2.244307, 2.262116, 0.635664, 0.860895, 2}	{-1.608643, -2.876988, 0.661554, 0.671228, 2}	{-0.947090, -2.205761, 0.837657, 0.520707, 2}	{-0.109433, -1.685054, 1.007722, 0.227726, 2}
{-2.826025, 2.571483, 0.656111, 0.774905, 0}	{-2.169913, -2.653612, 0.838081, 0.551870, 0}	{-1.331833, -2.101742, 1.014967, 0.069433, 0}	{-0.316866, -2.032309, 0.940018, -0.049746, 0}	{1.863223, 1.189669, -0.705659, -0.597091, 1}	{1.157564, 0.592578, -0.713569, -0.731388, 1}	{0.443995, -0.138810, -0.421670, -0.804721, 1}	{0.022325, -0.943531, -0.650468, -0.760068, 1}	{-2.287140, 1.853750, 0.751840, 0.839967, 2}	{-1.535300, 2.693717, 0.739261, 0.735767, 2}	{-0.796039, -2.570516, 1.026794, 0.339209, 2}	{0.230755, -2.231306, 0.925809, -0.318834, 2}
{-2.763201, -1.080159, 0.744255, -0.614297, 0}	{-2.018946, -1.694457, 0.982207, -0.400580, 0}	{-1.036739, -2.095036, 0.967172, 0.000847, 0}	{-0.069567, -2.094189, 0.996182, 0.075972, 0}	{1.170339, 1.072441, -0.520106, -0.851996, 1}	{0.650234, 0.220445, -0.551665, -0.799575, 1}	{0.098569, -0.579130, -0.711065, -0.770037, 1}	{-0.612497, -1.349166, -0.767195, -0.623567, 1}	{-2.308148, -2.881568, 0.942278, 0.210792, 2}	{-1.365869, -2.670776, 0.954673, 0.366505, 2}	{-0.411197, -2.304271, 0.929426, 0.037109, 2}	{0.518229, -2.267163, 1.084708, 0.067868, 2}
{-2.714060, -1.903283, 1.064827, 0.151078, 0}	{-1.649233, -1.752205, 0.880339, -0.326386, 0}	{-0.768894, -2.078591, 0.923856, -0.113514, 0}	{0.154963, -2.192104, 0.850311, -0.291026, 0}	{1.788297, -0.075002, -0.884125, -0.521785, 1}	{0.904172, -0.596787, -0.892098, -0.484476, 1}	{0.012074, -1.081263, -0.860562, -0.158366, 1}	{-0.848488, -1.239629, -0.937914, -0.060766, 1}	{-2.187259, -2.084731, 0.861082, -0.508730, 2}	{-1.326177, -2.593462, 0.946200, -0.087753, 2}	{-0.379977, -2.681215, 1.069284, 0.055603, 2}	{0.689306, -2.625612, 0.957848, -0.066329, 2}
{-2.535973, -0.635441, 0.780082, -0.569145, 0}	{-1.755891, -1.204587, 0.832588, -0.489270, 0}	{-0.923303, -1.693857, 0.961789, -0.213358, 0}	{0.038486, -1.907215, 0.966858, -0.253290, 0}	{1.732545, 0.546762, -0.997309, -0.086089, 1}	{0.735237, 0.460673, -0.850926, -0.471604, 1}	{-0.115689, -0.010931, -0.729977, -0.600466, 1}	{-0.845666, -0.611398, -0.626102, -1.029705, 1}	{-2.398994, 2.998605, 0.945572, 0.019142, 2}	{-1.453422, -2.982253, 0.981037, 0.267836, 2}	{-0.472385, -2.714416, 0.977031, 0.343238, 2}	{0.504646, -2.371179, 1.090157, -0.186162, 2}
{-2.637532, -1.128496, 0.901986, -0.621311, 0}	{-1.735546, -1.749807, 0.980311, -0.345665, 0}	{-0.755235, -2.095472, 0.884741, -0.045827, 0}	{0.129506, -2.141300, 0.921901, -0.093755, 0}	{1.920729, 0.478940, -0.883604, -0.399242, 1}	{1.037125, 0.079697, -0.914709, -0.427609, 1}	{0.122416, -0.347912, -0.994802, -0.315715, 1}	{-0.872386, -0.663627, -0.991142, -0.558455, 1}	{-2.349897, 2.676309, 1.030647, 0.294942, 2}	{-1.319250, 2.971252, 0.983258, 0.492535, 2}	{-0.335992, -2.536214, 1.181444, 0.051202, 2}	{0.845452, -2.485012, 0.817040, -0.014244, 2}
{2.910760, -1.788772, 1.077014, -0.294265, 0}	{-2.012226, -2.083037, 1.043650, -0.010978, 0}	{-0.968576, -2.094015, 1.033805, 0.384006, 0}	{0.065229, -1.710009, 1.000473, 0.125334, 0}	{2.019567, 0.903381, -0.897672, -0.685089, 1}	{1.121895, 0.218292, -0.800384, -0.515804, 1}	{0.321512, -0.297512, -0.981436, -0.410237, 1}	{-0.659925, -0.707749, -0.908596, -0.309585, 1}	{-1.544734, 2.326229, 0.828751, 0.569850, 2}	{-0.715983, 2.896079, 0.650472, 0.805416, 2}	{-0.065511, -2.298504, 0.819900, 0.392246, 2}	{0.754390, -1.906259, 0.891830, 0.584933, 2}
{-2.378554, -1.816783, 0.942477, -0.318183, 0}	{-1.436076, -2.134966, 0.948004, -0.105507, 0}	{-0.488073, -2.240473, 0.934589, -0.038872, 0}	{0.446516, -2.279345, 1.070529, 0.114905, 0}	{2.113685, 1.216987, -0.743906, -0.581462, 1}	{1.369779, 0.635525, -0.894238, -0.431750, 1}	{0.475541, 0.203775, -0.831002, -0.345054, 1}	{-0.355461, -0.141279, -0.959939, -0.307851, 1}	{-1.606694, -2.984913, 0.791089, 0.201219, 2}	{-0.815606, -2.783695, 0.994761, 0.161285, 2}	{0.179156, -2.622409, 0.978796, 0.327154, 2}	{1.157952, -2.295255, 1.001598, 0.213650, 2}
{-1.905219, -0.564863, 0.868235, -0.488788, 0}	{-1.036984, -1.053651, 0.884808, -0.642558, 0}	{-0.152176, -1.696209, 1.019274, -0.506886, 0}	{0.867098, -2.203095, 0.772222, -0.574061, 0}	{1.991976, 0.460875, -0.776563, -0.481190, 1}	{1.215413, -0.020315, -0.829131, -0.559811, 1}	{0.386282, -0.580126, -0.987577, -0.269209, 1}	{-0.601295, -0.849335, -1.013363, -0.224059, 1}	{-1.710119, -1.781369, 0.932262, -0.422869, 2}	{-0.777856, -2.204238, 1.101805, -0.277350, 2}	{0.323949, -2.481588, 0.924882, -0.342960, 2}	{1.248831, -2.824548, 0.922770, -0.265883, 2}
